商品ID,商品名稱,作者名稱,分類,淨銷量,總營收,訂單數,首次銷售日,最後銷售日,銷售月數,月均銷量
EB0000061,《打造小小巴菲特 贏在起跑點：陳重銘的親子理財15堂課》電子版｜陳重銘,陳重銘,電子書,118.0,29269.0,54,2024-09-01,2026-02-01,18,6.6
B0000040S,第一份收入就投資,林奇芬,紙本書,113.0,19884.0,53,2016-01-19,2022-03-01,75,1.5
B0030,2021週年慶朱家泓套書,朱家泓,紙本書,108.0,103680.0,106,2021-10-01,2021-10-31,1,108.0
EB0000112,《打造小小巴菲特2  養成金錢好習慣：陳重銘的親子理財16堂啟蒙課》電子版｜陳重銘,陳重銘,電子書,104.0,29740.0,45,2024-08-01,2026-02-01,19,5.5
B0000018,波爾多尋訪,0,紙本書,100.0,70000.0,1,2013-04-12,2013-04-12,1,100.0
EB0000126,《好起來的從來不是生活，而是你自己》電子版｜夏天,夏天,電子書,99.0,19358.0,39,2025-04-01,2026-02-01,11,9.0
B0034,2021週年慶孫慶龍2本書,孫慶龍,紙本書,95.0,48450.0,84,2021-10-01,2021-10-31,1,95.0
EB0000141,《價值覺醒：股人阿勳的進化思維，破解「便宜不漲」的真相，告別賣飛人生》電子書｜股人阿勳,股人阿勳,電子書,93.0,15887.0,7,2026-01-01,2026-02-01,2,46.5
B0000026,投資女王-賺錢基金尋寶圖,林寶珠,紙本書,88.0,17724.0,33,2013-07-15,2018-06-13,60,1.5
B0000100,【加價購】陳重銘存股套書《6年存到300張股票》+《教你存自己的300張股票》+《每年多存300張股票》,陳重銘,紙本書,83.0,0.0,23,2023-11-08,2026-01-18,27,3.1
B0000085,(理財寶加購_$250)《教你存自己的300張股票》｜陳重銘,陳重銘,紙本書,76.0,19000.0,39,2023-08-04,2023-12-28,5,15.2
B0000019,基金贏家100招,0,紙本書,67.0,15982.0,58,2011-04-26,2015-08-10,53,1.3
B0000084,(理財寶加購_$266)《投資別再情緒化! 讓數據說話 用科學方法讓本金百倍奉還》｜小路Lewis,小路Lewis,紙本書,66.0,17382.0,43,2023-08-04,2023-12-29,5,13.2
B0000045,一眼看穿房仲賣屋手法,陳泰源,紙本書,54.0,11128.0,21,2016-10-04,2022-10-13,73,0.7
EB0000043S,五線譜投資術,薛兆亨,電子書,48.0,6719.0,26,2022-01-01,2025-02-01,38,1.3
EB0000049,五線譜投資術進階版,薛兆亨,電子書,47.0,7591.0,27,2022-01-01,2025-07-01,43,1.1
B0000035,輪轉到西藏,林祐君,紙本書,43.0,7803.0,29,2021-02-03,2026-01-02,60,0.7
E0006,存股心法10堂課｜不敗教主 陳重銘-存股心法10堂課,陳重銘,電子書,38.0,43223.0,38,2019-06-15,2022-03-31,34,1.1
EB0000137,《長壽公式：減少發炎、增加細胞修復和活力生活的阿育吠陀實踐》電子版｜阿凡蒂‧庫馬爾－辛格,阿凡蒂‧庫馬爾－辛格,電子書,36.0,6161.0,10,2025-12-01,2026-02-01,3,12.0
B0000098,理財寶瑕疵書｜朱家泓《抓住線圖股民變股神》+《抓住K線獲利無限》2書組,朱家泓,紙本書,31.0,0.0,14,2023-11-04,2023-11-22,1,31.0
B0000101,《豬力安親子理財教練: 學校沒教但孩子一定要學的9堂理財課》｜豬力安,豬力安（李彥慶）,紙本書,26.0,8207.0,2,2024-01-23,2025-09-27,21,1.2
B0000023S,抓住飆股輕鬆賺(金尉),朱家泓,紙本書,25.0,6864.0,8,2017-09-05,2018-08-13,12,2.1
B0000038X,朱家泓套書-抓住K線.抓住飆股.抓住線圖.賺錢高手,朱家泓,紙本書,25.0,20076.0,25,2019-09-06,2019-10-12,2,12.5
E0005,股市淘金術｜不敗教主 陳重銘-股市淘金術10堂課,陳重銘,電子書,22.0,26107.0,22,2019-10-13,2021-09-29,24,0.9
B0000021,台北金融物語-內線國度2,0,紙本書,20.0,2025.0,1,2011-11-16,2011-11-16,1,20.0
B0000088,《理財女人最好命》｜《29歲開始做 43歲提早退休》+《不上班也有錢》2書超值組,粉圓妹+曾琬鈴,紙本書,18.0,0.0,7,2023-09-10,2023-10-05,2,9.0
020193,存股致勝心理學加價購優惠活動,孫悟天，孫太,紙本書,15.0,2985.0,15,2022-03-03,2022-05-17,3,5.0
EB0000023S,抓住飆股輕鬆賺,朱家泓,電子書,14.0,1725.0,4,2022-01-01,2022-06-01,6,2.3
B0000092,《看圖選股天王天后組》｜《學會走圖SOP》+《抓住飆股輕鬆賺》2書超值組,朱家泓+林穎,紙本書,14.0,0.0,8,2023-09-10,2023-10-05,2,7.0
EB0000037S,6年存到300張股票,陳重銘,電子書,14.0,1694.0,4,2022-01-01,2022-09-01,9,1.6
B0031,2021週年慶陳重銘存股3本書,陳重銘,紙本書,10.0,6900.0,10,2021-10-01,2021-10-26,1,10.0
B0000052,搞定海外投資的8堂課,林成蔭,紙本書,8.0,2207.0,57,2019-05-02,2025-09-27,77,0.1
EB0000047,看財報不抓狂1分鐘找出好股票,薛兆亨,電子書,8.0,1649.0,8,2022-01-01,2024-05-01,29,0.3
B0000094,理財寶瑕疵書｜陳重銘《我用1檔ETF存自己的18% 教你存自己的300張股票》2書組,陳重銘,紙本書,7.0,0.0,7,2023-10-02,2023-10-30,1,7.0
B0000091,"《定存股前看財報》｜《教官,財報有問題!》+《教你存自己的300張股票》2書超值組",楊禮軒+陳重銘,紙本書,6.0,0.0,3,2023-09-10,2023-09-12,1,6.0
B0032,2021週年慶陳重銘ETF2本書,陳重銘,紙本書,6.0,3240.0,6,2021-10-01,2021-10-14,1,6.0
EB0000041,就是這張表抓住神買點,董鍾祥,電子書,5.0,466.0,3,2022-06-01,2024-06-01,25,0.2
B0000097,【存股心態刻意練習3冊】：《存股致勝心理學》+《存好股的智慧與勇氣》+《慢步股市》,孫悟天+溫國信+華倫,紙本書,5.0,0.0,5,2023-11-03,2023-11-29,1,5.0
B0000102,【新春大禮包】《豬力安親子理財教練：學校沒教但孩子一定要學的9堂理財課》加送3期Money錢電子雜誌,豬力安（李彥慶）,電子書,5.0,0.0,5,2024-01-22,2024-02-14,2,2.5
B0000036,大晴天 賣傘天,版權書,紙本書,5.0,182.0,1,2016-10-24,2016-10-24,1,5.0
B0000034,面試一次就上班,版權書,紙本書,4.0,915.0,4,2015-04-02,2019-04-28,49,0.1
B0000122,《上癮式存錢：邊賺邊存、越存越爽，一鍵刷新你對錢的概念！》｜阿汝娜、周劍銓, Money錢-營收 100% D176  阿汝娜、周劍銓      	 阿汝娜、周劍銓 開啟螢幕閱讀器支援功能 如需啟用螢幕閱讀器支援功能，請按下 Ctrl+Alt+Z 如需進一步瞭解鍵盤快速鍵，請按下 Ctrl+斜線,紙本書,4.0,1200.0,4,2025-02-04,2025-09-18,8,0.5
B0000047,看財報不抓狂,Finance168、Tivo168,紙本書,4.0,1324.0,4,2023-12-24,2025-06-08,19,0.2
EB0000028S,源源不絕賺好股,孫慶龍,電子書,3.0,346.0,3,2022-06-01,2023-12-01,19,0.2
B0000120,養成巴菲特三部曲套書組,陳重銘,紙本書,3.0,0.0,1,2024-11-12,2024-11-12,1,3.0
B0036,2021週年慶薛兆亨決勝股市2本書,薛兆亨,紙本書,3.0,1755.0,3,2021-10-06,2021-10-22,1,3.0
B0035,2021週年慶薛兆亨五線譜2本書,薛兆亨,紙本書,3.0,1350.0,3,2021-10-04,2021-10-17,1,3.0
EB0000029S,巴菲特選股神功,洪瑞泰,電子書,2.0,208.0,2,2022-03-01,2023-09-01,19,0.1
B0033,2021週年慶丹尼爾高勝率波段飆股,丹尼爾,紙本書,2.0,540.0,2,2021-10-07,2021-10-11,1,2.0
B0000062,決勝股市關鍵16招,五線譜投資達人薛兆亨、Tivo,紙本書,2.0,568.0,2,2024-01-11,2024-01-31,1,2.0
B0000090,《同學會達人秀》｜《投資別再情緒化!》+《鬼道致富！》2書超值組,小路+鬼手易生,紙本書,2.0,0.0,2,2023-09-10,2023-09-13,1,2.0
B0000039,5:2法則,版權書,紙本書,2.0,442.0,2,2016-03-28,2016-09-06,7,0.3
B0000089,《成功男人進行式》｜《人生流當品 》+《這個房仲太狠了！》2書超值組,秦嗣林+陳泰源,紙本書,2.0,0.0,1,2023-09-10,2023-09-10,1,2.0
B0000049,活用五線譜 漲跌都能賺(1本裝),薛兆亨、Tivo168,紙本書,1.0,253.0,1,2025-06-08,2025-06-08,1,1.0
B0000066,存飆股 一次賺進10年股息,林上仁、郭勝,紙本書,1.0,332.0,1,2025-11-15,2025-11-15,1,1.0
B0000043S,五線譜投資術,薛兆亨、Tivo168 合著,紙本書,1.0,221.0,1,2025-06-08,2025-06-08,1,1.0
E0079,小小巴菲特養成班10堂影音課2022兒童(加購書),陳重銘,紙本書,1.0,324.0,1,2025-02-24,2025-02-24,1,1.0
B0000107,《FIRE，然後呢？──金錢、人際關係、健康……真實退休生活，老黑要告訴你的7件事！》｜老黑,田臨斌（老黑）,紙本書,1.0,316.0,1,2024-05-16,2024-05-16,1,1.0
B0041,存股套書懶人包再送3期電子雜誌,孫悟天，孫太,紙本書,1.0,799.0,1,2022-05-08,2022-05-08,1,1.0
B0000119,《做自己的心理治療師：超過25 種療癒技術，擺脫情緒內耗，提升自我認同》｜塔米．米勒,Tammi Miller,紙本書,1.0,336.0,1,2025-07-11,2025-07-11,1,1.0
B0000121,《沒人在乎你的職涯：為何你該勇於失敗、不畏艱難……與其他職場殘酷真相》｜艾瑞卡．貝登,Erika Ayers Badan,紙本書,1.0,379.0,1,2025-01-22,2025-01-22,1,1.0
