商品ID,商品名稱,作者名稱,分類,淨銷量,總營收,訂單數,首次銷售日,最後銷售日,銷售月數,月均銷量
B0000122,《上癮式存錢：邊賺邊存、越存越爽，一鍵刷新你對錢的概念！》｜阿汝娜、周劍銓,阿汝娜、周劍銓,紙本書,2239.0,473837.0,106,2025-01-02,2026-03-27,15,149.3
B0000062,決勝股市關鍵16招,薛兆亨、TIVO,紙本書,2237.0,453104.0,193,2021-07-01,2026-03-12,57,39.2
B0000048,活用版:教你存自己的300張股票,陳重銘,紙本書,2169.0,396685.0,149,2018-01-05,2023-05-18,65,33.4
EB0000116,《活用技術分析寶典：飆股上校朱家泓40年實戰精華 從K線、均線到交易高手的養成秘笈》電子版｜朱家泓,朱家泓,電子書,2152.0,782430.0,78,2024-11-01,2026-02-01,16,134.5
EB0000065,6年存到300張股票2022修訂版,陳重銘,電子書,2120.0,268228.0,201,2022-01-01,2026-02-01,50,42.4
EB0000080,《學會走圖SOP讓技術分析養我一輩子》電子版｜林穎,林穎,電子書,2067.0,411703.0,154,2023-06-01,2026-02-01,33,62.6
EB0000105,《艾蜜莉存股術2.0：月薪2.5萬起步 滾到5千萬財富》電子版｜艾蜜莉,艾蜜莉,電子書,2065.0,362788.0,103,2024-03-01,2026-02-01,24,86.0
B0000051,(精裝書)不敗教主的300張股票存股術,陳重銘,紙本書,1985.0,407496.0,164,2018-09-23,2024-06-18,70,28.4
B0000118,《活用技術分析寶典：飆股上校朱家泓40年實戰精華 從K線、均線到交易高手的養成秘笈》【精裝書】｜朱家泓,朱家泓,紙本書,1967.0,3199322.0,1432,2024-10-01,2025-04-24,7,281.0
B0000093,《早點知道就好了：頂尖律師教你51個超實用金錢法律常識》 ｜建業法律事務所,建業法律事務所,紙本書,1941.0,463280.0,242,2023-10-24,2026-03-18,30,64.7
B0000104,《當媽是一種修行：焦慮的大人聽不見孩子心聲，做一個不那麼累的媽媽！》｜易小宛,易小宛,紙本書,1900.0,401718.0,206,2024-03-19,2026-03-19,25,76.0
EB0000138,《主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密》電子書｜樊登,樊登,電子書,1882.0,300787.0,8,2026-01-01,2026-02-01,2,941.0
B0000132,《破局致富：從認知覺醒到財務自由，看懂資本遊戲規則，做出改變選擇》｜Mike,Mike,紙本書,1875.0,474261.0,70,2025-09-11,2026-03-24,7,267.9
B0000051X,不敗教主的300張股票存股術(精裝書)+USB影音書,陳重銘,紙本書,1866.0,2725571.0,1858,2018-08-31,2019-04-27,9,207.3
B0000096,《靠譜：人生突圍的132條自我提升指南》｜侯小強,侯小強,紙本書,1775.0,419062.0,185,2023-11-23,2026-03-29,29,61.2
B0000136,【暢銷珍藏版】《極簡投資: 股市小白也能1天搞懂的技術分析》｜林恩如,林恩如,紙本書,1757.0,415987.0,47,2025-12-16,2026-03-30,4,439.2
B0000111,《懶人存股翻倍術: 1招搞定美股投資 6年賺1倍》｜SK康德,SK康德,紙本書,1582.0,354234.0,139,2024-07-26,2026-03-18,21,75.3
B0000055,抄底實戰66招,郭泰,紙本書,1581.0,339879.0,255,2019-05-14,2025-08-19,76,20.8
B0000142,"《讓錢喜歡你的財富整理術: 小印的23個理財練習,陪你走出金錢焦慮,實現夢想x財務自主》｜小印",小印,紙本書,1581.0,368824.0,20,2026-02-24,2026-04-01,3,527.0
B0000101,《豬力安親子理財教練: 學校沒教但孩子一定要學的9堂理財課》｜豬力安,豬力安,紙本書,1574.0,383369.0,153,2024-01-16,2026-03-18,27,58.3
B0000064X,(單)小資致富術:用主題式ETF錢滾錢,陳重銘,紙本書,1552.0,316088.0,53,2021-11-30,2022-07-16,9,172.4
B0000076,《投資別再情緒化! 讓數據說話 用科學方法讓本金百倍奉還》｜小路Lewis,小路Lewis,紙本書,1512.0,322644.0,181,2023-04-25,2026-03-15,36,42.0
EB0000086,《你也可以存100張金融股: 養出退休金雞母 打造領息好日子》電子版｜陳重銘,陳重銘,電子書,1457.0,206470.0,133,2023-08-01,2026-02-01,31,47.0
EB0000064,小資致富術：用主題式ETF錢滾錢,陳重銘,電子書,1433.0,215569.0,190,2022-01-01,2026-02-01,50,28.7
B0000115,"《卓越 : 學霸養成指南,吳軍博士教你成為最佳陪跑員,讓孩子少走彎路》｜吳軍",吳軍,紙本書,1411.0,332452.0,70,2024-09-24,2026-03-12,19,74.3
EB0000067,教你存自己的300張股票2022修訂版,陳重銘,電子書,1392.0,130688.0,165,2022-06-01,2026-02-01,45,30.9
EB0000075,《這個房仲太狠了！揭開買、賣、租屋秘辛，教你躲過黑心建商坑殺陷阱》電子版｜陳泰源,陳泰源,電子書,1381.0,155878.0,140,2023-03-01,2026-02-01,36,38.4
B0000134,《工程師勳仔40歲前退休計畫──指數節稅多元收益投資法 低風險避開0050正2盲點》｜勳仔,勳仔,紙本書,1367.0,320734.0,55,2025-09-18,2026-03-31,7,195.3
B0000109,《致富習慣：改變10個生活小細節帶來巨大財富》｜史蒂夫•艾德卡克,史蒂夫•艾德卡克,紙本書,1354.0,343408.0,134,2024-06-25,2026-03-11,22,61.5
B0000059,冠軍操盤手的高勝率秘技,楊雲翔,紙本書,1335.0,273195.0,408,2020-11-22,2025-05-21,55,24.3
EB0000068,「教官，財報有問題！」：看穿市場鬼故事，買到銅板好股,楊禮軒,電子書,1327.0,164419.0,145,2022-10-01,2026-02-01,41,32.4
B0000140,《你不該看到的金融真相：從華爾街神話到市場幻象，洞悉金錢背後的操控與陷阱》｜喬許．布朗,喬許．布朗,紙本書,1326.0,356436.0,39,2026-02-03,2026-03-29,2,663.0
B0000031,多空大贏家,洪守傑,紙本書,1322.0,226856.0,26,2013-11-15,2016-05-27,31,42.6
B0000049,活用五線譜 漲跌都能賺(1本裝),薛兆亨、TIVO,紙本書,1296.0,235688.0,193,2018-07-04,2025-08-22,86,15.1
B0000043S,五線譜投資術,薛兆亨、TIVO,紙本書,1260.0,202465.0,200,2016-05-17,2025-04-25,108,11.7
EB0000129,《給理財小白的翻身筆記：2年從負債75萬到資產300萬，ETF讓我走在財務自由路上》電子版｜鐵蛋,鐵蛋,電子書,1246.0,196830.0,38,2025-07-01,2026-02-01,8,155.8
B0000119,《做自己的心理治療師：超過25 種療癒技術，擺脫情緒內耗，提升自我認同》｜塔米．米勒,塔米．米勒,紙本書,1243.0,333826.0,83,2024-10-15,2026-03-23,18,69.1
EB0000030S,抓住K線 獲利無限,朱家泓,電子書,1163.0,122331.0,155,2022-02-01,2026-02-01,49,23.7
EB0000124,《權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺》電子版｜權證小哥,權證小哥,電子書,1114.0,214268.0,56,2025-03-01,2026-02-01,12,92.8
EB0000056,抓住飆股輕鬆賺2020修訂版,朱家泓,電子書,1097.0,138206.0,147,2022-07-01,2026-02-01,44,24.9
EB0000103,《當沖畢勝啟示路：從菜雞到常勝軍  連贏70個月！超完備當沖指南》電子版｜順流小畢,順流小畢,電子書,1058.0,204173.0,104,2024-02-01,2026-02-01,25,42.3
EB0000063,勝率近100%的可轉債存股術,蕭啟斌,電子書,1056.0,156244.0,212,2022-01-01,2026-02-01,50,21.1
EB0000110,《新式型態學: 175張圖 x 22種多空K棒組合 x 8種獨創型態 股市新手一出手就賺》電子版｜莎拉(Sara Wang),莎拉(Sara Wang),電子書,1021.0,189364.0,87,2024-08-01,2026-02-01,19,53.7
EB0000131,《富媽媽窮媽媽：陳重銘寫給不想一輩子窮忙的你，10個觀念從領薪水到領千萬股利》電子版｜陳重銘,陳重銘,電子書,999.0,166026.0,36,2025-08-01,2026-02-01,7,142.7
B0000123,《隱性財富：掌控市場變局的6大事件投資法》｜艾席夫．蘇利亞,艾席夫．蘇利亞,紙本書,957.0,241921.0,79,2025-02-20,2026-03-24,14,68.4
B0000125,《賽道之外：從3A總裁到冠軍自釀啤酒師的破框人生》｜陳雨德,陳雨德,紙本書,942.0,229212.0,43,2025-03-25,2026-03-12,13,72.5
B0000121,《沒人在乎你的職涯：為何你該勇於失敗、不畏艱難……與其他職場殘酷真相》｜艾瑞卡．貝登,艾瑞卡．貝登,紙本書,939.0,250541.0,55,2024-12-24,2026-03-06,16,58.7
B0000108,《重新找回自己：不完美也沒關係！你不用活成別人眼裡的100分》｜陳海賢,陳海賢,紙本書,914.0,214191.0,97,2024-05-28,2026-03-12,23,39.7
EB0000109,《致富習慣：改變10個生活小細節帶來巨大財富》電子版｜史蒂夫•艾德卡克,史蒂夫•艾德卡克,電子書,863.0,123705.0,82,2024-06-01,2026-02-01,21,41.1
EB0000132,《破局致富：從認知覺醒到財務自由，看懂資本遊戲規則，做出改變選擇》電子版｜Mike,Mike,電子書,853.0,92793.0,29,2025-09-01,2026-02-01,6,142.2
EB0000058,上班族的ETF賺錢術,陳重銘,電子書,842.0,97716.0,145,2022-02-01,2025-03-01,38,22.2
B0000087,《生成式人工智慧 : AIGC的邏輯與應用》 ｜丁磊,丁磊,紙本書,827.0,243939.0,102,2023-10-03,2026-02-24,29,28.5
B0000137,《長壽公式：減少發炎、增加細胞修復和活力生活的阿育吠陀實踐》｜阿凡蒂‧庫馬爾－辛格,阿凡蒂‧庫馬爾－辛格,紙本書,824.0,209764.0,44,2025-11-25,2026-03-24,5,164.8
EB0000024S,抓住線圖 股民變股神,朱家泓,電子書,810.0,89544.0,133,2022-01-01,2026-02-01,50,16.2
